# The license in the LICENSE file does not apply to this file. The data in this file is from SIMBAD (http://simbad.cds.unistra.fr/simbad/). This file is made available under the Open Database License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in individual contents of the database are licensed under the Database Contents License: http://opendatacommons.org/licenses/dbcl/1.0/.
id,otype,ra,dec,pmra,pmdec,rvz,plx,type,mag,extra

κ Aur,PM*,93.84453491325125,29.49807647788778,-72.404,-261.101,20.74,18.2703,G8.5IIIb,4.35
λ Aur,PM*,79.78531437463376,40.09905141137223,520.569,-664.488,67.161,79.6021,G1.5IV-VFe-1,4.71
ν Aur,*,87.8723727421,39.14852391264999,7.958,0.713,9.92,16.1414,K0.5IIICN0.5,3.95
π Aur,LP*,89.98374135855,45.93673491601,-3.755,-7.785,0.71,4.5154,M3IIb,4.25
τ Aur,*,87.29348991048083,39.18107231686389,-28.265,-25.064,-18.473301,15.5486,G8IIIbFe-1,4.5
υ Aur,PM*,87.76015536901,37.30556969497,36.426,-45.606,37.67,5.7358,M0III,4.74
χ Aur,s*b,83.18197656842209,32.19202236863777,-0.812,-3.15,7.27,0.9087,B4Ia,4.79
ψ^1 Aur,s*r,96.22458979254,49.2878920061,-0.155,-2.131,4.4,0.4426,K5-M1Iab-Ib,4.75
2 Aur,RG*,73.15825144049,36.70318808734999,-25.273,-3.715,-17.24,5.2978,K3-IIIBa0.4,4.779

α Boo,RG*,213.915300294925,19.1824091615312,-1093.39,-2000.06,-5.229,88.83,K1.5IIIFe-0.5,-0.05,name=Arcturus,wellKnownName=true
β Boo,PM*,225.48650960185543,40.39056857046112,-40.708,-30.168,-18.4,13.878,G8IIIaFe-0.5,3.52,name=Nekkar
δ Boo,PM*,228.87567841690498,33.31483124216833,84.383,-111.591,-12.29,27.0746,G8IIIFe-1,3.49
ε Boo,PM*,221.24673982578958,27.074222319675556,-50.818,21.024,-16.6,13.8267,K0--III,2.45,name=Izar
ζ Boo,**,220.28729823076685,13.728304629385853,51.95,-11.08,-8.5,18.56,A1V,3.78
ζ Boo A,PM*,220.28733409166668,13.72828106111111,66.3,-20.6,null,null,A3IV,4.51
ζ Boo B,PM*,220.28711599166667,13.72841686111111,66.3,-20.6,-5.5,null,A2,4.51
η Boo,SB*,208.67116216800866,18.397720717229475,-60.95,-356.29,5.77111,87.75,G0IV,2.68,name=Muphrid
θ Boo,PM*,216.2991539590004,51.85074367335807,-235.97,-399.696,-10.627,69.0686,F7V,4.05
λ Boo,dS*,214.0959100349329,46.08830429435917,-187.698,159.309,-1.66,32.5885,A0Va_IIlB,4.18,name=Xuange
κ^2 Boo,dS*,213.37086532986,51.78996745846,61.899,-9.615,-15.6,20.153,A7IV,4.5
ξ Boo,BY*,222.8474163722046,19.100472048411426,154.98,-66.43,1.59,148.98,G7Ve+K5Ve,4.593
ο Boo,PM*,221.3102522575375,16.964276615643886,-59.581,-52.524,-9.26,12.6814,G8.5III,4.6
ρ Boo,PM*,217.9574555385208,30.371436570076384,-100.531,119.87,-13.57,19.855,K3-III,3.59
σ Boo,PM*,218.67007244468,29.745127131650005,188.574,131.58,0.116,63.4679,F4VkF2mF1,4.47
τ Boo,PM*,206.8155757166775,17.456891543222227,-468.923,63.469,-16.03,64.047,F7IV-V,4.49
υ Boo,PM*,207.36933869583623,15.797904644250833,-93.269,40.166,-5.85,13.4228,K5.5III,4.07
ψ Boo,PM*,226.11142899823997,26.94764831773,-174.718,-5.036,-25.84,12.6144,K2III,4.55

α CMa,SB*,101.28715533333335,-16.71611586111111,-546.01,-1223.07,-5.5,379.21,A0mA1Va,-1.46,name=Sirius,wellKnownName=true
β CMa,bC*,95.67493896958332,-17.955918708888888,-3.23,-0.78,33.7,6.62,B1II-III,1.97,name=Mirzam
γ CMa,*,105.93955612216459,-15.633287003608888,0.931,-11.435,31.1,7.5819,B8II,4.12,name=Muliphein
δ CMa,s*y,107.09785021416667,-26.39319957888889,-3.12,3.31,33.67,2.03,F8Ia,1.84,name=Wezen
ε CMa,*,104.65645315148348,-28.972086157360806,3.24,1.33,27.3,8.05,B1.5II,1.5,name=Adhara
ζ CMa,Ce*,95.07830016583333,-30.063366733888888,7.32,4.03,32.2,9,B2.5V,2.99,name=Furud
η CMa,s*b,111.02375950100142,-29.303105508471724,-4.14,5.81,41.1,1.64,B5Ia,2.45,name=Aludra
κ CMa,Be*,102.46024630194668,-32.508478839148054,-8.957,4.464,14,4.83,B1.5Ve,3.89
ο^1 CMa,s*r,103.53313445883,-24.18421097264,-3.771,4.066,36.3,1.2869,K2Iab,3.87
ο^2 CMa,s*b,105.75613058900544,-23.833293974200288,-1.335,3.803,48.08,0.8715,B3Ia,3.02
σ CMa,s*r,105.42978350186792,-27.934830340443888,-5.714,4.89,22.11,2.5085,K5Ib,3.47,name=Unurgunite
ω CMa,Be*,108.70272505556083,-26.772667556726386,-11.617,8.109,23.2,3.561,B2.5Ve,3.82

α CMi,SB*,114.82549790798149,5.224987557059477,-714.59,-1036.8,-4.50528,284.56,F5IV-V+DQZ,0.37,name=Procyon,wellKnownName=true
β CMi,Be*,111.78767390541668,8.2893157625,-51.76,-38.29,22,20.17,B8Ve,2.89,name=Gomeisa
γ CMi,SB*,112.04080952897002,8.925524480059998,-62.112,11.141,46.8,3.134,K3-IIIFe-0.5,4.3
δ^1 CMi,*,113.02478678059,1.91447967575,-2.129,-0.868,29.1,3.9896,F0V,5.233
δ^2 CMi,*,113.29860726374,3.29037918403,-15.909,42.696,3.4,23.1488,F1III-IV,5.571
δ^3 CMi,*,113.56621917976,3.3717243208,-2.534,-5.305,33.8,4.603,B9V,5.817
ε CMi,*,111.4120820166,9.276090422389998,-4.583,-8.414,-6.50535,3.9908,G6IIb,4.986
ζ CMi,*,117.92495302825,1.76686846141,-13.704,-4.043,32.3,4.0023,B8II,5.16
η CMi,*,112.00864519024,6.94197060764,-3.109,-43.633,19.09,10.2172,F0III,5.22
G CMi,PM*,120.5664038383367,2.334571901765,-28.194,105.65,71.905899,12.5234,K2IIIbFe-0.5:,4.38
R CMi,S*,107.17755050856,10.024016136689998,-8.185,2.276,46.1,0.7819,SC4-7/10e,7.25
S CMi,Mi*,113.17945548138,8.318110425390001,-10.785,-12.827,68,2.3934,M7-8e,6.6
U CMi,Mi*,115.3334611293,8.38030872927,-3.379,2.888,56,0.6718,M4e,8
V CMi,S*,106.74506492859,8.87697476004,-8.437,-7.158,33,1.0009,M6-6.5Se,7.4
W CMi,C*,117.18969564921,5.393164496259999,0.037,-4.223,16,0.8181,C7,2,8.72
